"","NAME","WAR","FIP","LOB","BABIP"
"1","브리검","5.780 ",4.36,0.73,0.301
"2","최원태","3.660 ",4.13,0.72,0.325
"3","한현희","2.830 ",5.51,0.73,0.335
"4","로저스","1.970 ",4.12,0.7,0.328
"5","양현","1.010 ",5.49,0.81,0.29
"6","김상수","0.970 ",4.68,0.7,0.321
"7","해커","0.940 ",6.36,0.73,0.295
"8","이보근","0.900 ",4.18,0.63,0.324
"9","이승호","0.550 ",6.19,0.72,0.277
"10","윤영삼","0.350 ",3.36,0.59,0.363
"11","김동준","0.350 ",6.43,0.72,0.34
"12","조상우","0.280 ",3.36,0.58,0.333
"13","이상민","0.220 ",3.62,1,0.231
"14","오주원","0.130 ",5.08,0.6,0.325
"15","문성현","0.040 ",4.83,1,0.333
"16","박정준","0.030 ",6.33,0.67,0
"17","김성민","(0.080)",4.96,0.61,0.369
"18","조성운","(0.090)",6.35,0.61,0.345
"19","김정인","(0.110)",6.15,0.66,0.433
"20","서의태","(0.120)",14.33,0,0.5
"21","이영준","(0.170)",6.33,0.44,0.6
"22","하영민","(0.320)",6.47,0.59,0.403
"23","안우진","(0.330)",5.74,0.61,0.354
"24","김선기","(0.340)",6.83,0.65,0.377
"25","신재영","(0.360)",7.62,0.7,0.305
