NAME,PA,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,WAR*,,,,,,,
임재현,3,0,0,33.3,0,0,0,1,3.9,,0.63,1.1,28.95,0.7,0.1,,,,,,,
최정,606,4.79,11.4,15.2,0.75,0.227,0.107,0.303,3.1,5.44,0.411,109.9,8.02,38.5,6.32,,,,,,,
로맥,589,4.92,12.4,19.9,0.62,0.232,0.094,0.302,3.5,9.94,0.393,98.1,6.88,28.8,4.02,,,,,,,
한유섬,502,2.39,11,19.9,0.55,0.131,0.11,0.321,2.1,0,0.361,70.6,5.94,11.5,2.11,,,,,,,
정의윤,419,3.1,7.2,14.3,0.5,0.166,0.061,0.304,1.8,0,0.359,58.4,5.56,9.1,1.68,,,,,,,
고종욱,513,0.59,3.5,17.4,0.2,0.098,0.024,0.388,7.6,5.47,0.353,69.1,5.33,8.7,2.26,,,,,,,
이재원,502,2.39,6.8,11.8,0.58,0.122,0.059,0.282,1.4,1.85,0.33,58,4.43,-1.1,2.66,,,,,,,
김재현,49,0,8.2,22.5,0.36,0.095,0.062,0.387,8.7,0,0.32,5.3,3.66,-0.5,0.13,,,,,,,
김강민,460,1.74,6.7,22.4,0.3,0.1,0.054,0.338,5.5,10.44,0.321,49.9,4.2,-4.3,1.63,,,,,,,
노수광,445,0.45,10.3,15.3,0.68,0.062,0.083,0.299,6.5,3.72,0.304,42.3,3.67,-10.1,0.57,,,,,,,
최항,147,0,10.9,16.3,0.67,0.039,0.094,0.279,3,0,0.288,12,3.16,-5.3,0.2,,,,,,,
박정권,37,2.7,13.5,29.7,0.46,0.125,0.11,0.25,3.4,0,0.291,3.1,3.26,-1.2,-0.03,,,,,,,
김성현,472,0.21,7,9.1,0.77,0.054,0.055,0.27,3.9,1.71,0.282,36.4,2.82,-19.2,0.5,,,,,,,
배영섭,80,0,7.5,18.8,0.4,0.014,0.075,0.281,3.8,0,0.267,5.2,2.5,-4.2,-0.11,,,,,,,
최준우,36,0,8.3,8.3,1,0.061,0.066,0.233,1.1,,0.265,2.3,2.19,-2,-0.02,,,,,,,
나주환,245,1.22,4.9,22,0.22,0.08,0.047,0.278,1.8,1.5,0.265,15.6,2.23,-13.3,-0.52,,,,,,,
남태혁,24,0,8.3,12.5,0.67,0,0.064,0.263,0.3,,0.257,1.4,1.85,-1.5,-0.07,,,,,,,
최승준,24,0,8.3,41.7,0.2,0,0.064,0.417,1,,0.257,1.4,2.06,-1.5,-0.09,,,,,,,
안상현,108,0,3.7,25.9,0.14,0.029,0.026,0.32,5.1,0,0.247,5.3,1.67,-7.4,-0.29,,,,,,,
김성민,4,0,0,75,0,0,0,1,1.9,,0.236,0.2,1.45,-0.3,-0.03,,,,,,,
김창평,53,0,7.6,20.8,0.36,0.044,0.082,0.235,2.1,,0.225,1.7,1.1,-4.6,-0.23,,,,,,,
박승욱,15,6.67,13.3,33.3,0.4,0.231,0.123,0,3.9,0,0.234,0.6,1.32,-1.2,-0.04,,,,,,,
강승호,42,4.76,4.8,42.9,0.11,0.154,0.041,0.211,2.4,0,0.223,1.3,0.97,-3.7,-0.18,,,,,,,
정진기,17,0,5.9,11.8,0.5,0,0.048,0.214,2.7,,0.209,0.3,0.66,-1.7,-0.14,,,,,,,
허도환,93,1.08,5.4,19.4,0.28,0.076,0.076,0.145,1.1,0,0.189,0.2,0.07,-10.7,-0.65,,,,,,,
정현,34,0,14.7,41.2,0.36,0,0.134,0.133,5.1,0,0.162,-0.7,-0.64,-4.7,-0.35,,,,,,,
최경모,16,0,0,12.5,0,0.063,0,0.071,3.9,,0.082,-1.3,-2.41,-3.2,-0.25,,,,,,,
최민재,2,0,0,0,,0,0,0,,,0,-0.3,-4.05,-0.5,-0.07,,,,,,,
이현석,3,0,0,0,,0,0,0,,,0,-0.4,-4.05,-0.8,-0.06,,,,,,,
